===DATA START===
IMU => X: 359.94 Y: -0.50 Z: 1.12 | ENC: 6769 (148.73 deg) | Servo PWM: 142
IMU => X: 0.25 Y: -0.63 Z: 1.44 | ENC: 7710 (169.41 deg) | Servo PWM: 128
IMU => X: 0.25 Y: -0.63 Z: 1.50 | ENC: 7710 (169.41 deg) | Servo PWM: 128
IMU => X: 0.25 Y: -0.63 Z: 1.44 | ENC: 7710 (169.41 deg) | Servo PWM: 128
IMU => X: 0.31 Y: -0.63 Z: 1.44 | ENC: 7712 (169.45 deg) | Servo PWM: 128
IMU => X: 0.31 Y: -0.63 Z: 1.44 | ENC: 7711 (169.43 deg) | Servo PWM: 128
IMU => X: 0.31 Y: -0.63 Z: 1.44 | ENC: 7711 (169.43 deg) | Servo PWM: 128
IMU => X: 0.31 Y: -0.63 Z: 1.44 | ENC: 7711 (169.43 deg) | Servo PWM: 128
IMU => X: 0.31 Y: -0.63 Z: 1.44 | ENC: 7711 (169.43 deg) | Servo PWM: 128
IMU => X: 0.31 Y: -0.56 Z: 1.94 | ENC: 7711 (169.43 deg) | Servo PWM: 131
IMU => X: 0.31 Y: -0.56 Z: 1.94 | ENC: 7712 (169.45 deg) | Servo PWM: 131
IMU => X: 2.31 Y: -0.50 Z: 2.06 | ENC: 7709 (169.39 deg) | Servo PWM: 134
IMU => X: 1.37 Y: -0.50 Z: 1.75 | ENC: 7710 (169.41 deg) | Servo PWM: 134
IMU => X: 1.37 Y: -0.50 Z: 1.75 | ENC: 7710 (169.41 deg) | Servo PWM: 134
IMU => X: 1.37 Y: -0.50 Z: 1.75 | ENC: 7711 (169.43 deg) | Servo PWM: 134
IMU => X: 1.37 Y: -0.50 Z: 1.75 | ENC: 7711 (169.43 deg) | Servo PWM: 134
IMU => X: 1.37 Y: -0.50 Z: 1.75 | ENC: 7711 (169.43 deg) | Servo PWM: 134
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7711 (169.43 deg) | Servo PWM: 134
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7711 (169.43 deg) | Servo PWM: 134
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7710 (169.41 deg) | Servo PWM: 134
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7710 (169.41 deg) | Servo PWM: 135
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7710 (169.41 deg) | Servo PWM: 135
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7711 (169.43 deg) | Servo PWM: 135
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7710 (169.41 deg) | Servo PWM: 135
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7712 (169.45 deg) | Servo PWM: 135
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7708 (169.37 deg) | Servo PWM: 135
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7710 (169.41 deg) | Servo PWM: 135
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7711 (169.43 deg) | Servo PWM: 135
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7711 (169.43 deg) | Servo PWM: 135
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7712 (169.45 deg) | Servo PWM: 135
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7710 (169.41 deg) | Servo PWM: 135
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7710 (169.41 deg) | Servo PWM: 135
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7712 (169.45 deg) | Servo PWM: 135
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7707 (169.34 deg) | Servo PWM: 135
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7704 (169.28 deg) | Servo PWM: 136
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7734 (169.94 deg) | Servo PWM: 134
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7753 (170.35 deg) | Servo PWM: 134
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7821 (171.85 deg) | Servo PWM: 130
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7827 (171.98 deg) | Servo PWM: 131
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7812 (171.65 deg) | Servo PWM: 132
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7810 (171.61 deg) | Servo PWM: 132
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7802 (171.43 deg) | Servo PWM: 133
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7802 (171.43 deg) | Servo PWM: 133
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7799 (171.36 deg) | Servo PWM: 133
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7799 (171.36 deg) | Servo PWM: 133
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7799 (171.36 deg) | Servo PWM: 133
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7798 (171.34 deg) | Servo PWM: 133
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7799 (171.36 deg) | Servo PWM: 133
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7799 (171.36 deg) | Servo PWM: 133
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7799 (171.36 deg) | Servo PWM: 133
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7799 (171.36 deg) | Servo PWM: 133
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7798 (171.34 deg) | Servo PWM: 133
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7799 (171.36 deg) | Servo PWM: 133
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7799 (171.36 deg) | Servo PWM: 133
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7799 (171.36 deg) | Servo PWM: 133
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7800 (171.39 deg) | Servo PWM: 133
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7799 (171.36 deg) | Servo PWM: 133
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7800 (171.39 deg) | Servo PWM: 133
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7799 (171.36 deg) | Servo PWM: 133
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7800 (171.39 deg) | Servo PWM: 133
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7799 (171.36 deg) | Servo PWM: 133
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7799 (171.36 deg) | Servo PWM: 134
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7798 (171.34 deg) | Servo PWM: 134
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7800 (171.39 deg) | Servo PWM: 134
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7799 (171.36 deg) | Servo PWM: 134
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7798 (171.34 deg) | Servo PWM: 134
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7799 (171.36 deg) | Servo PWM: 134
IMU => X: 1.37 Y: -0.44 Z: 1.31 | ENC: 7800 (171.39 deg) | Servo PWM: 134
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7800 (171.39 deg) | Servo PWM: 134
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7799 (171.36 deg) | Servo PWM: 134
IMU => X: 1.37 Y: -0.44 Z: 1.37 | ENC: 7801 (171.41 deg) | Servo PWM: 134
